NPP Category,OMB Category,Tax Expenditure Name,Year,Original Name,Corporate,Individual,Total for 1981 and 1982,Original OMB Category
"Social Security, Unemployment & Labor",Income security,Additional exemption for elderly,1974,Additional  exemption for over 63,,1150,,
"Social Security, Unemployment & Labor",Income security,Additional exemption for the blind,1974,,,15,,
Commerce,Commerce and Housing,"Capital gains (except agriculture, timber, iron ore and coal)",1974,Capital gain: corporate (other than farming and timber),745,,,
Commerce,Agriculture,Capital gains treatment of certain income,1974,,30,520,,Energy
Energy & Environment,Natural resources and environment,Capital gains treatment of certain timber income,1974,Timber: capital gian treatment of certain income,130,55,,Health
Energy & Environment,Energy,Capital gains treatment of royalties on coal,1974,,5,,,Commerce and housing credit
Education,"Education, training, employment, and social services",Child care facilities: 5-year amortization,1974,,5,,,"Education, training, employment, and social services"
"Social Security, Unemployment & Labor","Education, training, employment, and social services",Credit for child and dependent care expenses,1974,Deductibility of child and dependent care expenses,,230,,Commerce and housing credit
Commerce,General purpose fiscal assistance,Credit for corporations in US possessions,1974,Exclusion of income earned in US possesions,350,5,,Energy
"Social Security, Unemployment & Labor","Education, training, employment, and social services",Credit for employment of AFDC recipients and public assistance recipients under work incentive programs,1974,Credit for employing public assistance reciepents under work incentive program,5,,,Income security
Government,General government,Credits and deductions for political contributions,1974,,,10,,Transportation
"Social Security, Unemployment & Labor",Income security,Deductibility of casualty losses,1974,,,255,,Natural resources and environment
Education,"Education, training, employment, and social services",Deductibility of charitable contributions (education),1974,Deductibility of contributions to educational institutions,155,355,,International affairs
Housing & Community,"Education, training, employment, and social services",Deductibility of charitable contributions (other than education),1974,,290,3820,,Income security
Commerce,Commerce and Housing,Deductibility of interest on consumer credit,1974,,,2435,,Agriculture
Medicare & Health,Health,Deductibility of medical expenses,1974,,,2125,,Commerce and housing
Housing & Community,Commerce and Housing,Deductibility of mortgage interest on owner-occupied homes,1974,,,4870,,Community and regional development
Government,Commerce and Housing,Deductibility of nonbusiness State and local taxes other than on owner-occupied homes,1974,,,6955,,Income security
Government,Transportation,Deductibility of nonbusiness State gasoline taxes,1974,,,865,,Business investment
Housing & Community,Commerce and Housing,Deductibility of State and local property tax on owner-occupied homes,1974,,,4060,,Natural resources and environment
Housing & Community,Commerce and Housing,Deferral of capital gains on home sales,1974,,,255,,Community and regional development
Commerce,International affairs,Deferral of income of domestic international sales corporations (DISC),1974,,870,,,Agriculture
Transportation,Transportation,Deferral of tax on shipping companies,1974,,35,,,Community and Regional Development
Housing & Community,Commerce and Housing,Depreciation on buildings (other than rental housing) in excess of straight line,1974,,285,220,,Income security
Housing & Community,Commerce and Housing,Depreciation on rental housing in excess of straight line,1974,,105,375,,Income security
Commerce,Commerce and Housing,Dividend exclusion,1974,,,320,,Veterans benefits and services
Commerce,Commerce and Housing,Excess bad debt reserves of financial institutions,1974,Bad debt reserve of financial institutions in excess of actual,780,,,"Education, training, employment, and social services"
Commerce,Commerce and Housing,Excess bad debt reserves of financial institutions,1974,,1000,,,"Education, training, employment, and social services"
Energy & Environment,Energy,Excess of percentage over cost depletion,1974,,1815,305,,"Education, training, employment, and social services"
"Social Security, Unemployment & Labor",Income security,Excess of percentage standard deduction over minimum standard deduction,1974,,,1260,,
Military,National defense,Exclusion of benefits and allowances to armed forces personnel,1974,,,650,,Income security
Housing & Community,Income security,Exclusion of capital gains on home sales for persons age 65 and over,1974,Exclusion of capital gain on home sales if over 65,,10,,
"Social Security, Unemployment & Labor",Income security,Exclusion of disability pay,1974,Exclusion of sick pay,,255,,National defense
"Social Security, Unemployment & Labor","Education, training, employment, and social services",Exclusion Of Employee Meals And Lodging (Other Than Military),1974,,,175,,Veterans benefits and services
Medicare & Health,Health,Exclusion of employer contributions for medical insurance premiums and medical care,1974,,,2940,,"Education, training, employment, and social services"
Veterans Benefits,Veterans' benefits and services,Exclusion of GI bill benefits,1974,,,290,,Commerce and housing credit
Commerce,International affairs,Exclusion of gross-up on dividends of LDC corporations,1974,,55,,,Commerce and housing credit
International affairs,International affairs,Exclusion of income earned abroad by US citizens,1974,Exclusion of certian income earned abroad by US citizens,,90,,Commerce and housing
"Social Security, Unemployment & Labor",Commerce and Housing,Exclusion of interest on life insurance savings,1974,,,1420,,Natural resources and environment
Government,General purpose fiscal assistance,Exclusion of interest on public purpose State and local bonds,1974,Exclusion of interest on State and local debt,2805,1060,,International affairs
Veterans Benefits,Income security,Exclusion of military disability pensions,1974,,,65,,Energy
"Social Security, Unemployment & Labor",Income security,Exclusion of other employee benefits: Premiums on accident and disability insurance,1974,Exclusion of other employee benefits: Premiums on accident and accidental death insurance,,40,,International affairs
"Social Security, Unemployment & Labor",Income security,Exclusion of other employee benefits: Premiums on group term life insurance,1974,,,680,,International affairs
"Social Security, Unemployment & Labor",Income security,Exclusion of public assistance benefits,1974,,,75,,Energy
"Social Security, Unemployment & Labor",Income security,Exclusion of railroad retirement system benefits,1974,,,160,,Natural resources and environment
Education,"Education, training, employment, and social services",Exclusion of scholarship and fellowship income (normal tax method),1974,,,195,,Commerce and housing credit
"Social Security, Unemployment & Labor",Social Security,Exclusion of social security benefits: Social Security benefits for disabled workers,1974,Exclusion of social security benefits: Disability insurance benefits,,235,,Commerce and housing
"Social Security, Unemployment & Labor",Social Security,Exclusion of social security benefits: Social Security benefits for retired workers ,1974,Exclusion of social security benefits: OASI benefits for aged,,2530,,Community and regional development
"Social Security, Unemployment & Labor",Social Security,"Exclusion of social security benefits: Social Security benefits for spouses, dependents and survivors",1974,Exclusion of social security benefits: Benefits for Dependents and Survivors,,410,,Energy
"Social Security, Unemployment & Labor",Income security,Exclusion of unemployment insurance benefits,1974,,,1050,,"Education, training, employment, and social services"
Veterans Benefits,Veterans' benefits and services,Exclusion of veterans death benefits and disability compensation,1974,Exclusion of veterans disability compensation ,,485,,Income security
Veterans Benefits,Veterans' benefits and services,Exclusion of veterans pensions,1974,,,25,,Health
"Social Security, Unemployment & Labor",Income security,Exclusion of workers' compensation benefits,1974,Exclusion of workmen's compensation benefits.........,,520,,Business investment
Housing & Community,Commerce and Housing,Exemption of credit union income,1974,,105,,,Health
Food & Agriculture,Agriculture,Expensing of certain capital outlays,1974,,170,580,,Commerce and housing
Energy & Environment,Energy,Expensing of exploration and development costs,1974,,750,80,,Commerce and housing
Science,"General science, space, and technology",Expensing of research and experimentation expenditures,1974,Expensing of research and development expenditures,605,,,"Natural resources, environment, and energy"
Housing & Community,Community and regional development,Five-year amortization for housing rehabilitation,1974,Housing rehabilitation: 5-year amortization,35,50,,General government
Energy & Environment,Natural resources and environment,Five-year amortization on pollution control facilities,1974,Pollution control: 5-year amortization,35,,,Commerce and housing
Commerce,Transportation,Five-year amortization on railroad rolling stock,1974,Railroad rolling stock: 5-year amortization,70,,,Commerce and housing
"Social Security, Unemployment & Labor",Income security,Income of trusts to finance supplementary unemployment benefits,1974,Privately financed supplementary unemployment benefits,,5,,Commerce and housing
Commerce,Commerce and Housing,Investment credit,1974,,3690,880,,Health
"Social Security, Unemployment & Labor",Income security,Net exclusion of pension contributions and earnings: Employer plans,1974,,,4790,,"Education, training, employment, and social services"
"Social Security, Unemployment & Labor",Income security,Net exclusion of pension contributions and earnings: Self-Employed plans,1974,Net exclusion of pension contributions and earnings: Plans for self-employed and others,,230,,"Education, training, employment, and social services"
Education,"Education, training, employment, and social services",Parental personal exemption for students age 19 or over,1974,,,655,,Commerce and housing
"Social Security, Unemployment & Labor",Income security,Retirement income credit and credit for the elderly,1974,Retirement income credit,,100,,Community and Regional Development
Commerce,International affairs,Special rate for Western Hemisphere trade corporations,1974,,50,,,Commerce and housing
Government,Commerce and Housing,Surtax exemption (through 1978),1974,"$25,000 corporate surtax exemption",3270,,,Commerce and housing credit
"Social Security, Unemployment & Labor",Income security,Additional exemption for elderly,1975,Additional  exemption for over 64,,1100,,Veterans benefits and services
"Social Security, Unemployment & Labor",Income security,Additional exemption for the blind,1975,,,20,,Transportation
Commerce,Commerce and Housing,"Capital gains (except agriculture, timber, iron ore and coal)",1975,Capital gain: corporate (other than farming and timber),695,,,
Commerce,Agriculture,Capital gains treatment of certain income,1975,,30,455,,Commerce and housing credit
Energy & Environment,Natural resources and environment,Capital gains treatment of certain timber income,1975,,145,60,,Health
Energy & Environment,Energy,Capital gains treatment of royalties on coal,1975,,10,40,,Commerce and housing credit
Education,"Education, training, employment, and social services",Child care facilities: 5-year amortization,1975,,5,,,"Education, training, employment, and social services"
"Social Security, Unemployment & Labor","Education, training, employment, and social services",Credit for child and dependent care expenses,1975,Deductibility of child and dependent care expenses,,295,,Commerce and housing credit
Commerce,General purpose fiscal assistance,Credit for corporations in US possessions,1975,Exclusion of income earned in US possesions,245,,,Energy
"Social Security, Unemployment & Labor","Education, training, employment, and social services",Credit for employment of AFDC recipients and public assistance recipients under work incentive programs,1975,,10,,,Income security
"Social Security, Unemployment & Labor",General government,Credits and deductions for political contributions,1975,,,40,,International affairs
"Social Security, Unemployment & Labor",Income security,Deductibility of casualty losses,1975,,,280,,Natural resources and environment
Education,"Education, training, employment, and social services",Deductibility of charitable contributions (education),1975,Deductibility of contributions to educational institutions,205,440,,International affairs
Housing & Community,"Education, training, employment, and social services",Deductibility of charitable contributions (other than education),1975,,385,4385,,Interest
Commerce,Commerce and Housing,Deductibility of interest on consumer credit,1975,,,1185,,Income security
Medicare & Health,Health,Deductibility of medical expenses,1975,,,2315,,Commerce and housing
Housing & Community,Commerce and Housing,Deductibility of mortgage interest on owner-occupied homes,1975,,,5405,,Community and regional development
Government,Commerce and Housing,Deductibility of nonbusiness State and local taxes other than on owner-occupied homes,1975,,,8490,,"General science, space, and technology"
Government,Transportation,Deductibility of nonbusiness State gasoline taxes,1975,,,820,,Business investment
Housing & Community,Commerce and Housing,Deductibility of State and local property tax on owner-occupied homes,1975,Deductibility of property taxes on owner-occupied homes,,4510,,Natural resources and environment
Housing & Community,Commerce and Housing,Deferral of capital gains on home sales,1975,,,805,,Community and regional development
Commerce,International affairs,Deferral of income of domestic international sales corporations (DISC),1975,,1130,,,Agriculture
Interest on Debt,Interest,Deferral of interest on US savings bonds,1975,Deferral of interest on savings bonds,,525,,Commerce and housing
Transportation,Transportation,Deferral of tax on shipping companies,1975,,70,,,Community and Regional Development
Housing & Community,Commerce and Housing,Depreciation on buildings (other than rental housing) in excess of straight line,1975,,220,220,,Income security
Housing & Community,Commerce and Housing,Depreciation on rental housing in excess of straight line,1975,,115,405,,Income security
Commerce,Commerce and Housing,Dividend exclusion,1975,,,315,,Veterans benefits and services
"Social Security, Unemployment & Labor",Income security,Earned income tax credit,1975,Earned income credit,,,,Veterans benefits and services
Commerce,Commerce and Housing,Excess bad debt reserves of financial institutions,1975,Financial institutions: excess bad debt reserves,880,,,Health
Commerce,Commerce and Housing,Excess first-year depreciation,1975,,175,100,,"Education, training, employment, and social services"
Energy & Environment,Energy,Excess of percentage over cost depletion,1975,,2010,465,,"Education, training, employment, and social services"
"Social Security, Unemployment & Labor",Income security,Excess of percentage standard deduction over minimum standard deduction,1975,Excess of percentage standard deduction over low income allowance,,1385,,
Military,National defense,Exclusion of benefits and allowances to armed forces personnel,1975,,,650,,Income security
Housing & Community,Income security,Exclusion of capital gains on home sales for persons age 65 and over,1975,Exclusion of capital gain on home sales if over 65,,40,,
"Social Security, Unemployment & Labor",Income security,Exclusion of disability pay,1975,Exclusion of sick pay,,315,,National defense
